word,category_id,sentiment
demonstrated,4,neutral
density,4,None 
deploy,2,None
deployment,2,none
depression,4,
design,2,neutral
dessert,5,none
desserts,5,None
devastated,none,negative
devastating,None,Negative
developed,2,none
device,2,None
diabetes,4,Negative
diagnosed,4,none
diagnoses,4,none
dialogue,3,
Dialogues,3,None
dictatorship,1,None
Diet,4,None
dietitian,4,None
dietitians,4,None
difficult,,Negative
digestion,4,None
digital,2,neutral
diligently,None,Positive
dining,5,none
dinner,5,None
diplomacy,1,None
diplomatic,1,None
dire,none,negative
Director,3,Neutral
disapproval,none,negative
discography,3,None
discouraging,None,Negative
discovery,3,none
discussion,1,neutral
disease,4,negative
disgusting,none,negative
dishes,5,None
disorders,4,none
display,3,None
Displaying,1,None
disrupted,4,none
dissidents,1,none
distraction,3,none
distress,none,negative
distribution,3,None
district,1,None
districts,1,
doctor,4,none
documentary,3,none
doggy,5,neutral
Dogs,5,None
domestic,1,none
doritos,5,None
draft,1,None
dreadful,None,Negative
drink,4,None 
drinks,5,None
dull,None,Negative
durability,4,None
eager,none,positive
eat,5,none
eating,4,None
echocardiogram,4,neutral
echoes,3,None
Economy,1,None
Ecstasy ,none,Positive
ecstatic,None,Positive
editor,3,None
EDM,3,None 
effect,none,neutral
effectivity,2,None 
efficiency,2,None
egregious,None,Negative
elected,1,None
election,1,None
electoral,1,none
electrolytes,4,neutral
emails,2,None 
embezzling ,1,negative
emergencies,4,Negative
emergency,1,None
employment,1,
encrypted,2,None
encryption,2,None
endorphins,4,Positive
endorsement,1,none
endurance,4,None
energized,4,positive
Engineer,2,none
engineering,2,none
engineers,2,None
enhances,none,positive
Enjoyable,None,Positive
enriches,none,positive
ensemble,3,none
Entertainment,3,None
Environment,2,None
EP,3,None
EQ,3,
error,2,none
Escalated,1,Negative
establishment,5,None
Excellent,None,Positive
excessive,4,None
exhausting,None,Negative
exhaustion ,4,none
exotic,5,neutral
expansions,4,none
expensive,1,none
experimental,3,none
Extract,2,None
eyes,4,none
fable,3,none
fail,None,Negative
families,5,None 
Family,5,None
fan-fiction,3,None
fans,3,None
farmer,5,neutral
fast_food,5,None 
fat,4,negative
fatigue,4,negative
favorite,none,positive
fed,5,None
federal,1,none
feed,4,neutral
feedback,5,Positive
feeding,4,neutral
feline,5,neutral
feminist,1,
feral,5,Negative
ferret,5,neutral
festival,3,positive
fetch,5,none
fever,4,
FFTs,2,
fiber,5,None 
fictional,3,none
fighting,none,negative
files,2,None
film,3,none 
filmaker,3,neutral
filming,3,None
finale,3,None 
Financial,1,None
financially,1,none
fingers,4,none
fire,1,None 
firefighters,1,None
fiscal,1,none
fish,5,neutral
flavormix,5,None
flawed,None,Negative
flawless,None,Positive
fleas,5,none
flexpulse,4,None
float,2,none 
flowery,5,None 
flu,4,negative
focused,3,none
foreshadowing,3,none
framework,2,None
free,3,None
fridge,5,
frisbee,5,None
frog,5,None
Frustrated ,None,Negative
frustrating,none,negative
Frustration,none,Negative
fulfilling,none,positive
fulfillment,4,Positive
fun,None,Positive
funding,1,None
fur,5,none
furbaby,5,none
furnishings,5,None
furry,5,None 
games,2,none
generate,2,None
generation,3,neutral
Genres,3,None
German_Shepard,5,Neutral
gerrymandering,1,none
giant,3,None
gig,3,neutral
glamorous,none,positive
Glee,none,Positive
goals,4,none
Google,3,None
Google_Colab,2,neutral
GOP,1,none
Gordon_Ramsay,5,None
gored,4,None
gossip,1,Negative
gourmet,5,None
governor,1,none
GPS,2,None
graduates,1,None 
grass,5,None
Great,None,Positive
greedy,none,negative
grime,5,negative
groceries,5,neutral
grocery,5,None
grooming,5,None
guest,5,None
guide,5,None
gym,4,none
gym ,4,neutral
habitat,5,None
half-marathon,4,None
hallucinate ,2,None 
hallucinations,2,Negative
hallway,5,neutral 
harbor,1,None
hard,None,Negative
hardship,none,negative
hare,5,None
Harm,none,Negative
harness,5,None
harvest,5,
hate,None,Negative
headache,4,Negative
headphones,3,None
healing,4,None
Health,4,None
healthcare,4,
heartbeat,4,none
heartwarming,none,positive
height,4,None
hell,None,Negative
Helpful,None,Positive
helplesness ,4,negative
herbs,5,None
hidden-camera,3,None 
high_budget,none,positive
hip-hop,3,None
history,1,None
hits,3,None
hoading ,5,None
holistic,4,None
Hollywood,3,None 
homecooked,5,none
homely,None,Positive
homemade,5,neutral
homeowners,5,None
homestyle,5,None
hopeful,None,Positive
hormonal_balance,4,none
Horrible,none,Negative
horrified,None,Negative
horror,3,none
hound,5,neutral
house,5,None
household,5,none
housemates,5,none
HRV,4,None
Hulu,3,none
humanitarian,1,none
hunger,5,none
hypertension,4,
hypertrophy,4,none
hypothesis,2,None 
identify ,2,None 
idols,3,None
illegal ,1,None
illness,4,None
imitation,3,negative
immune,4,
immunity,4,none 
importing,2,None
improve,4,positive
inability,none,negative
inaccurate ,2,None 
includes,4,None
Indian,5,None 
indie,3,none
industrial,3,none
industry,3,none
inetgers ,2,none 
infamous,none,negative
inflation,1,none
inflation ,1,negative
information,2,neutral
ingredients,5,None
initiative,1,none
insomnia,4,
inspector,5,None
inspiring,None,Positive
Instagram,1,None
instructor,4,None
instrumentation,3,none
insurance,1,
insurrection,1,None
integrity,1,positive
intelligence,2,none
intended,2,none
interface,2,neutral 
intern,1,None
internet,2,None
interview,3,None 
investigated,1,None 
investigative,1,neutral
Iran,1,None
irked,None,Negative
irresponsible,None,Negative
issues,2,None
jogging,4,None
joint,4,None 
journalism,1,None
journey,3,None
Joy,none,Positive
juice,5,None
jump,4,none
K-NN ,2,none
keyboard,2,none
kibble,5,none
kids,5,None 
kinesiology,4,none
kitten,5,none
kittey,5,none
kitties,5,none
kitty,5,neutral
kiwis,5,none
knife,5,None
KNN,2,
labs,2,none
land,1,None
languages,2,None 
lanterns,3,None
laptop,2,none
lasagna,,neutral
latency,2,none
lauch,none,positive
Laundry,5,None
lavish ,3,None 
lawmakers,1,None 
layered,3,none
lazy,4,Negative
leader,1,none
leftovers,5,none
legalized ,1,None 
legislation,1,none
levels,4,none
library,3,None
lifestyle,4,None 
lift,4,neutral
lighthearted,3,none
line,3,neutral
link,2,None
listen,4,neutral
listeners,3,none
Listening habits,3,None
literacy,1,neutral
literary,3,
litter,5,None
live,3,None
living,5,None
living ,5,none
lizard,5,neutral
LLM,2,none
LLMs,2,None 
loathe,none,negative
logic,2,none
Logic Pro,3,
logs,2,none
longevity,4,none
loops,2,None
lounge_chair,5,None
Love,none,positive
lovely,None,Positive
low-income,1,none
lunch,5,None
Macbeth,3,none
Macbeth ,3,none
macronutrients,4,neutral
macros,4,none
magazine,3,
magazines,3,None 
